Price List ID,Price List Name,Product Name,Variant ID,SKU,Qty  Band 1,Price 1,Qty Band 2,Price 2,Qty Band 3,Price 3
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1752,BHE : BHEM01,1,21.2,5,21.2,12,21.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1753,BHE : BHEM03,,,,,,
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1754,BHE : BHEM04,1,26.2,5,26.2,12,26.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1755,BHE : BHEM16,1,26.2,5,26.2,12,26.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1757,BHE : BHEM35,1,26.2,5,26.2,12,26.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1758,BHE : BHEXL01,1,21.2,5,21.2,12,21.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1759,BHE : BHEXL03,1,26.2,5,26.2,12,23.84
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1760,BHE : BHEXL04,1,26.2,5,26.2,12,26.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1761,BHE : BHEXL16,1,26.2,5,26.2,12,26.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1763,BHE : BHEXL35,1,26.2,5,26.2,12,26.2
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1764,BHE : BHEXXL01,1,22.54,5,22.54,10,22.54
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1765,BHE : BHEXXL04,1,28.35,5,28.35,10,28.35
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1766,BHE : BHEXXL16,1,28.35,5,28.35,10,28.35
16,Distributor UK Single,Healthy Waffle Effect Towelling Bathrobe 350gsm,1767,BHE : BHEXXL35,1,28.35,5,28.35,10,28.35
16,Distributor UK Single,Headstrong Bleach Resistant VAT Dyed Salon Hair Towels  350gsm,1770,TC : TCHTVD08,1,3.98,12,3.98,96,3.98
16,Distributor UK Single,Headstrong Bleach Resistant VAT Dyed Salon Hair Towels  350gsm,1771,TC : TCHTVD16,1,3.01,12,3.01,96,3.01
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1773,TCO+ : TCOBM01,1,3.24,5,3.24,54,3.24
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1774,TCO+ : TCOBM02,,,,,,
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1775,TCO+ : TCOBM03,1,5.47,5,5.47,54,5.47
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1776,TCO+ : TCOBM04,1,5.47,5,5.47,54,5.47
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1777,TCO+ : TCOBM14,1,2.74,5,2.74,54,2.74
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1778,TCO+ : TCOBM16,1,5.47,5,5.47,54,5.47
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1779,TCO+ : TCOBM19,,,,,,
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1780,TCO+ : TCOBM20,1,5.47,5,5.47,60,5.47
16,Distributor UK Single,Comfy Coloured Bath Mats 700gsm,1781,TCO+ : TCOBM35,1,5.47,5,5.47,54,5.47
16,Distributor UK Single,Comfy Guest/Manicure Towel 450gsm,1830,TCO. : TCOGT01,1,1.06,10,1.06,216,1.06
